sample_name,FAM92A1,TEC,CRYL1,FBXO47,HBA2,TBX20,BRUNOL5,C1orf168,C2orf71,RASGRP1,TPH2,CPSF4L,DNA2,PIH1D2,class
"B0201C",0.91405096,0,0.618831221,0,0,0,0,0.919626154,0,0,0,0.763460404,0,0,"ALL"
"B0202C",0,0,0.613036354,0,0,0,0,0,0,0,0,0.585419428,0,0,"ALL"
"B0303C",0.74340502,0,0.542337269,0,0,1.124125804,0,0,0,0,0,0.701217039,0,1.1728952,"ALL"
"B0585C",0,0,0.457835522,0,0,1.109509421,0,0,0,0.619904265,0,1.107258892,0,0,"ALL"
"B0588C",0.49962853,0,1.372603067,0,0,0.845632097,0,0.808035527,0,0.5372996925,0.654187622,0,0,0,"ALL"
"B06150C",0.715901712,0,0,0,0,0.52227249,0,0,0,0,0,0,0,1.142392277,"ALL"
"B0782C",0,0,0,0,0,0,0,0.607277257,0,1.324677816,1.175740355,0,0,0.69621051,"ALL"
"B1077C",1.21683756,0,0.98335958,0,0,0,0,0,0,0,0,0,0,1.434520522,"ALL"
"B1452C",0,0,0,0,0,0,0,0.84112656,0,1.023607397,1.202731608,0.543933533,0,0.811442651,"ALL"
"B1477C",0,0,0,0,0,0,0,0,0,0,0,0,0,1.042194054,"ALL"
"B1493C",0,0,0,0,0,0,0,0.833727543,0,0,0,0,0,0,"ALL"
"B1494C",0,0,0.582217798,0,0,0,0,0,0,0,0,0.232579005,0,0.846847791,"ALL"
"B1589C",0,0,0,0,0,0.666831781,0,0,0,0.954535308,0,0,0,0,"ALL"
"B1614C",0,0,0.561987221,0,0,0,0,0,0,0.622095728,0,0.710315239,0,0,"ALL"
"B1657C",0,0,1.096049358,0,0,0.263040233,0,0.715815456,0,1.077927305,0,0,0,0,"ALL"
"B1919C",0,0,0.720613777,0,0,0.273759273,0,0,0,1.604273659,0,0.578221426,0,0,"ALL"
"R1767C",0,0,0,0,0,0,0,0.291304327,0,0,0.47800473,0.849936322,0,1.075980976,"ALL"
"R2026C",0,0,0,0,0,0.699765146,0,0.305715698,0,0,0,0,0,0,"ALL"
"R2031C",1.499754092,0,0,0,0,0.468667652,0,0,0,0,1.583994407,0,0,0,"ALL"
"R2163C",2.17204238,0,0,0,0,0.323211653,0,0.426496388,0,0,1.358712663,0.861284067,0,0,"ALL"
"R2236C",1.564087326,0,1.017662082,0,0,0.450893976,0,1.221082394,0,0,0.769465593,0.589802527,0,0,"ALL"
"R2326C",1.730989678,0,0,0,0,0.42802137,0,0.364027623,0,0,1.26126642,0.371459813,0,1.266177037,"ALL"
"R2372C",1.030734706,0,0,0,0,0.517658984,0,0.688637199,0,0,0,0,0,1.382180295,"ALL"
"R2533C",0,0,0.44100622,0,0,0,0,0.298062675,0,0,0,0,0,1.571981396,"ALL"
"R2682C",1.257850742,0,1.201398326,0,0,0.663027605,0,0.398277871,0,0,0,0,0,0,"ALL"
"R2692C",0,0,0,0,0,0,0,0.366110171,0,0.805589686,0.865240434,1.022045362,0,1.365240748,"ALL"
"R2710C",0,0,0.397323439,0,0,0,0,0,0,0,0,0,0,0.990667263,"ALL"
"R2791C",0,0,0,0,0,0.537407605,0,0.853121416,0,1.159181714,0,0,0,1.12578229,"ALL"
"R2811C",0.930237745,0,0.540864338,0,0,0.623081996,0,0.824023689,0,0,0,0.92841056,0,1.143333356,"ALL"
"R2812C",0,0,1.312506087,0,0,0,0,0.5926981355,0,0,1.085182483,0,0,0,"ALL"
"B9N1",0,0,0,0,0.83284498,0,0,0,0,0,0,0,1.251059725,0,"Normal"
"B9N2",0,1.25025999,0,0,0.671723587,0,1.271191032,0,0,0,0,0,0,0,"Normal"
"B9N3",0,1.287292817,0,0.648527307,0.87034905,0,1.110130857,0,0,0,0,0,0.848494498,0,"Normal"
"B9N4",0,0,0,1.185865227,1.011925505,0,0,0,0.500351634,0,0,0,0,0,"Normal"
"B9N5",0,0,0,0.854143364,0,0,1.201779841,0,0,0,0,0,0,0,"Normal"
"R9N10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Normal"
"R9N6",0,0,0,0,0.629119044,0,0,0,1.061826378,0,0,0,0,0,"Normal"
"R9N7",0,1.126903695,0,0,0,0,0,0,1.305011735,0,0,0,0,0,"Normal"
"R9N8",0,0,0,0,0,0,0,0,0,0,0,0,0.871820798,0,"Normal"
"R9N9",0,0,0,0.410363073,0,0,0,0,0.853882327,0,0,0,0.590945394,0,"Normal"
