sample_name,CAMK1,SQLE,ZFP82,TIGD2,TIGD4,ZNF114,ZSWIM3,MSMB,ASF1B,EFHC2,C4orf31,GNA11,TUBE1,FAM92A1,GPR123,LRRC42,CES2,LRRN1,H2AFJ,UQCRC1,KRT84,LOC282997,OR2A5,ACBD4,C4B,PAPD5,ZDHHC2,PCDHA8,POR,ARIH1,CCDC13,SPATA5L1,FAM192A,RNF14,MARK4,FNIP1,PDCD4,PBLD,IL12B,OR8D1,F2R,RPUSD2,CAMK1D,LDHAL6B,RAB3IL1,C5orf60,FZD3,PLCD3,FUNDC1,RNF126,TEC,HOXA5,ROBO1,LIAS,PRRX2,PSORS1C2,HLA.E,RLTPR,FLJ40504,MYH15,MAGEA9B,BBS12,RNPEP,CRYL1,LCE2B,ATL2,GPR21,EPHA4,ARL1,C18orf45,FABP3,PSME3,PSME1,RSPRY1,ARFGEF2,MIPOL1,LIMK1,C18orf62,C6orf225,PABPC4,POLD2,ATP7B,NUB1,PROCA1,PRRT3,UQCRH,MBD3L2,FBXO47,FBXO46,FBXO42,EIF2C3,HBA2,CORT,LRRC59,CCDC148,TBX20,PCDH11X,CENPBD1,FMR1NB,ARFIP1,NOL10,TTLL3,TEKT2,PNPLA4,BRUNOL5,P4HA3,LAT,HSPB11,MGC16142,GPSM3,RCAN2,SDC4P,HNRNPH3,APBB1,POLR3A,C4A,WDR62,C1QA,GALNT8,GAPDH,LOC729338,KRTAP7.1,C1orf168,C2orf71,NRG3,SPINT1,C7orf42,IL9R,ARPP.21,IRX1,MAGEA9,TEX13B,THAP8,RGS8,LSM14A,MLL2,RASGRP1,RPL9,UTP14A,C6orf153,APOBEC3D,EFR3A,TPH2,HRC,ZBTB8B,CEACAM6,CYP17A1,FEM1B,FMO1,STX18,C12orf10,CCR6,FLJ40292,PPP3R2,CPSF4L,MS4A4A,UBQLN1,GLS2,CLRN1,CENPF,TREM1,MYH4,PXMP2,C12orf59,AFG3L1,SNHG6,DNA2,PIH1D2,TNXA,C21orf129,HES6,NCK2,CCDC137,PRTFDC1,CSNK2A1,C9orf102,BTBD6,RIMBP3,class
"B0303C",0,0,0,0,0,0,0,0,0,0,0,0,0.489857939,0.74340502,0,0,0,0.927285911,0,0,0,0,0.836114611,0,0,0,0,1.005835605,0,0,0,0,0,0,0,0,0,0,0.535126043,0,0,0,0,0.836130191,0,0,0,0,0,0,0,0,0,0,0,0.509933271,0,0,0,0,0,0,0,0.542337269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489857939,0,0,0,0,0,0,0,0,0,0,0.58628438,0,0,0,0,0,1.124125804,0.541881018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.177799409,0,0,0,0,0,0,0,0,0,0,0,0,0.741843924,0,0,0.684998041,0,0,0.701217039,0,0,0,0.737701963,0,1.198105705,0,0,0,0,0.336387863,0,1.1728952,0,0,0,0,0,0,0,0,0,0,1
"B1494C",0,0,0,0.244031202,0,0,1.052109777,0,0,0,0.978335,0,1.010776628,0,0,0,0,0,0,0,0,0.226196785,0,0,0,0,0,0,0,0.404529904,0,0,0,0,0,0,0.226196785,0,0,0.796228902,0,0,1.374730069,0,0,0,0,0,0,0,0,0,0,0,0,0.339044585,0,0,0,0,0,0,0,0.582217798,0.530557143,0,0,0,0,0,0,0,0,0,0,0,0,0.434672288,1.010776628,0,0,1.43019441,0,0,0.614832171,0,0,0,0,0.561502397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674871131,0,0,0.232579005,0,0,0,0,0,0.588191989,0.822683484,0,0,0,0,0,0.846847791,0,0,0,0,0,0,0,0,0,0,1
"B1919C",0,0,0,0.637504418,0,0,0,0,0,0,1.054726449,0,0.57470106,0,0,0,0,0.82832489,0,0,0,0,0,0,0,0,0,0,0,0.169462333,0,0,0,0,0,0,0,0,0.971073637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56466033,0,0,0,0,0,0,0,0.720613777,0,0,0,0,0,0,0,0,0.477641648,0,0,0,0,0,0.57470106,0,0,1.05021947,0,0,0.706407174,0,1.547685077,0,0,0.663750501,0,0,0,0,0,0.273759273,0.39972133,0,0,0,0,0,0,0.408333682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.466948955,0,0.481335167,0,0,1.604273659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546237526,0,0,0.578221426,0,0,0,0,0,0,0,0,0,0,1.259932086,0,0,0,0,0,0,0,0,0,0.722821857,0,0,1
"R2236C",0,0,0,0.687456099,0,0,0,0,0,0,0.423949185,0,0.964201176,1.564087326,0,0,0,0,0,0,0,0.843295867,0.550621763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843295867,0,0,0,0,1.029516848,0,0,0,0,0,0,1.459441592,0,0,0,0,0,0,0,0,0,0,0.959848559,0,0,0,1.017662082,0.984464374,0,0,0,0,0,0,0,0.767966137,0,0,0.63100247,0,1.209860367,0,0,0,1.043135841,0.52280305,0,0,0,0,0,0,0,0,0,0,0,0,0.450893976,0,0,0,0,0,0,0,0.763147874,0,0,0,0,0,0,0.830303811,0.506244892,0,0,0,0,0,0,0.743046011,0,0,0,1.221082394,0,0,0,0,0,1.145607813,0,0,0,0,0.825240356,0,0.606800955,0,0,1.250466273,0,0,0,0.769465593,0,0,0.678012254,0,0,0.451664069,0,0,0.850007243,0,0.720675294,0.589802527,1.275008199,0,0,0.484631837,0,1.161459064,0,0,1.07422277,0,0,0,0,0,0,0,0,0,0,0,0.87338436,0,0,1
"R2326C",0,0,0,0,0,0,1.480264773,0,0,0,1.132194279,0,0,1.730989678,0,0,0,0,0,0,0.6550402825,0.722519549,0.599244136,0,0,0,0,0,0,0.725867556,0,0,0,0,0,0,0.722519549,0,0,0.730913257,0,0,1.376146122,1.259389584,0,0,0,0,0,0,0,0,0,0,0,0,0.243115253,0,0,0,0,0,0,0,0,0,0.841157556,0,0,0,0,0,0.573994357,0,0,0.897066107,0,0.902174824,0,0,0,0,0.995201124,0,0,0,0,0,0,0,0,0,0,0,0,0.42802137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26197819,0,0,0.82925689,0.364027623,0,0,0,0,0,0.7694615785,0,0,0,0,0,0,0.752478629,0,0,0,0,0,0,1.26126642,0,0,1.164442465,0,0,0,0,0,0,0,1.167330951,0.371459813,0.643973649,0,0,0.946792294,0,0,0.43264437,0,1.532495428,0,0.646356138,0,1.266177037,0,0,0,0,0,0,0,0,0,0,1
"R2692C",0,0,0,0.68562327,0,0,0,0,0,0,0,0,0,0,0,0,0,1.079718022,0,0,0.769470443,0,0.542336147,0,0,0,0,1.009313742,0,0,0,0,0,0,0,0,0,0,1.216585878,0,0,1.87395872,0,0.509294426,0,0,0,0,0,0,0,0,0,0,0,0,0.764741201,0,0,1.949775054,0,0,0,0,0,0,0.669132204,0,0,1.037092221,0,0,0.690610486,0,0,0.412652306,0,0,0,0,0,0,1.056314448,0,0.818632331,0,0,0,0,1.010283929,0,0,0,0,0,0,0.819872836,0,0,0,0,0,0,0.762912961,0,0,0,0,0,0,0,0.916026844,0,1.260012131,0,0,0,0,0,0,0,1.009625317,0.366110171,0,0,0,0,0,0,0,0,0,0,0.456173901,0,0,0.805589686,0,1.58682124,0,0,0,0.865240434,0,0,0,0,0,0.730995479,0,0,0,0,0,1.022045362,1.045139249,0,0,1.022318835,0,0,0.414171675,0,0,0,0,0,1.365240748,0,0,0,0,0,0,0,0,0,0,1
"R2791C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061777708,0,0,0,1.111597207,0,0,0,0,0,0,0,0.704576689,0,0,0,0,0,0,1.111597207,0,0,0.33071336,0,0,0,0,0,0,0,0,0.984614137,0,0,0,0,0,0,0.919357083,0.816057404,0,0,0,0,0,0,0,1.143213755,0,1.334747067,0,0,0.553476598,0,0,0.56936279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537407605,0.900780195,0,0,0,0,0,0,0.636520768,0,0,0,0,0,0,0.974372863,1.197915475,0,1.292217258,0,0,0,0,0.644879734,0,0,0,0.853121416,0,0,0,0,0,0,0,0,0.769443498,0,0,0,0,1.159181714,0,0,0,0,0,0,0,0,0.566524338,0,0,0,0,0,0,0,1.022355098,0,0.703028479,0,0,0.282836607,0,0,0,0,0,0,0,0,1.12578229,0,0,0,0,0,0,0,1.045353871,0,0,1
"R2812C",0,0,0,0.262222556,0,0,0,0,0,0,0,0,0.430582619,0,0,0,0,0,0,0,0.996578012,0.713415055,0,0,0,0,0,0.919222229,0,0.839336837,0,0,0,0,0,0,0.713415055,0,0,0.700746613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790920151,0.649025429,0,0,0,0,0,0,1.312506087,1.197571575,0,0.572447909,0,0,0.944206759,0,0,0,0,0,0.557599203,0,0,0.430582619,0,0,0,0,0,0.619063113,0,1.131284247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.275605912,0,0,0,0,0,0,0,0,0,0,0.631737772,0.5926981355,0,0,0,0,0,1.178800685,0,0,0.40835656,0,0.676959718,0,0,0,0,0,0,0,0,1.085182483,0,0,0,0,0,0.649587173,0,0,0,0,0,0,0.628926683,0,0,0,0,0,0.963342171,0,1.076391452,0,0.585937693,0,0,0,0,0,0,0,0,0,0,0,0,1
"B9N1",0.341294215,0.808331312,1.102421909,0,0,0,0,1.12403971,0.683583336,0,0,1.23988578,0,0,0.847829233,0.857347205,0,0,1.237599095,0.326784782,0,0,0,0,0,0,1.005156807,0,0,0,0.705506871,0,0,0.525708481,1.080136422,0,0,0,0,0,1.233021283,0,0,0,0.311894866,0,0.760619693,0,0,0.6390376825,0,0.808955157,0,0.843498693,0.680221689,0,0,0,0,0,0.747292434,0.419252401,0,0,0,0.431348578,0,0,0.567711068,0,0,0.840061614,0,0,0.5386353,0,0,0,0,0.66020573,0.850835817,0,0,0,0,0.907075612,0,0,0.544062347,0,0.465221871,0.83284498,1.220007979,0,0,0,0,0.813473105,0,0,1.906307585,1.464215077,0.965947082,0,0,1.146510954,0.612074445,0.857347205,0,0.404636083,0,0,0,0,1.291022886,0,0,0.21759487,0,0,0.419252401,0,0,0,0,0.806109593,0.33645963,0,0,0.688768243,0.747292434,0,0,0,0,0,0,0.843498693,0,0,0,0,0,0.346762159,0,0,0.814470575,0.691616251,0,0.764459175,0.8678783,0,0,0,0,0,0.547214505,0.885323444,0,0.617549733,0,0,0,0,0.813473105,0,1.251059725,0,0,0,0.6193117175,0,0.366075545,1.166715062,0.996554102,0,0,0.519917425,5
"B9N2",0,0.930846089,1.028810917,0,1.447770319,0,0,0.923937459,1.324582286,0,0,1.300141572,0,0,0.550443879,0.542622864,0.388215466,0,0,0.274741749,0,0,0,0,0.644177352,0,0.897158658,0,2.190254555,0,0,0.855039718,0.540209642,0,1.042530647,1.244868956,0,0.998265991,0,0,0.665538731,0,0,0,0.886630945,0,0.606979233,0,0,0,1.25025999,1.151161315,0,0.759209098,0.790909831,0,0,0.342689894,1.397266848,0,0.642330307,1.360428136,0.690120212,0,0,0.934306591,0,0,0,0,0.6208918085,0,0,0.540209642,0.950941404,0,0,0,0,0,1.213677554,0,0,0.430803909,0,0,0,0,0.434661301,0,0.489305877,0.671723587,0,0.214756716,0.606139077,0,0,0,0,1.447770319,0,1.013972567,0,0,1.271191032,0.84347509,0.828427774,0.542622864,0,0.435568038,0,0,0.998265991,0,0,0.644177352,0.812660998,0,0,0.276465165,1.360428136,0,0,0,0.90686008,0.434105327,1.169006634,0,0,0.878400374,0.642330307,0,0.812660998,0,0.993219819,0,0,0.759209098,0,0.633928845,0,1.727913817,0,0.84533928,0,0,0,0,0,0.344242916,0,0,0.381131792,0,0,0,0,0,0,0,0,0,1.055080017,0,0,0,0,0,0.644177352,0,0.213418189,0,0.801291849,0,0.948258741,0,1.0602619925,0.676920538,5
