sample_name,C14orf118,ZC3H18,PHOX2B,C3orf72,SHOX2,CPLX3,BCR,HOXA13,PPPDE1,OR5R1,GADL1,C9orf142,GRIN2B,MFGE8,UPP1,TTTY7,C8orf47,SRRT,XPA,CES3,SNORD41,GHITM,STOML1,LOC284788,MGC23284,ACSS2,SHQ1,MCCC2,PHC1,GBX1,NP,FAM151B,ZNF367,FBLL1,SMURF1,TMEM92,TRIM42,GGT7,ZFP91.CNTF,STAR,USP6,ZNF853,NPTXR,SGOL1,CR2,SNORA45,ISCU,ZKSCAN3,TTTY7B,DSG2,GAPDHS,C2orf49,SLC7A5,SMYD5,MYLK4,SLED1,ARL11,RPS29,PPP2R3C,DEFB116,ETF1,CCNI2,SDF4,DEDD2,FAM47E,X1.Mar,GAMT,HIST1H1T,LPXN,ATF5,LEPROTL1,RNF126,TACSTD2,LOC286016,RGR,PAGE2B,NR5A1,VAV1,ANKRD34C,PRR5L,PSMD7,C5orf20,DHX29,SLC39A4,C20orf3,WNT9B,JTB,SEMA5B,ZNF586,DMRT2,ZNF22,PION,SRRM5,C17orf90,CREBZF,FAM184A,WASF2,C14orf142,C1QL1,PDCD1LG2,TXNL1,SART3,COL22A1,KRBA2,APOL1,MAN1B1,USP36,NOS1AP,FKSG29,NARS2,LOC149134,LOC100130264,FBXO6,PML,C17orf39,COPS2,ST3GAL4,CACNA1F,ZFP91,MBD3L2,NFKBIB,TMEM158,PPP1CB,NDUFAF4,NOTCH3,OPN5,GPN2,HIVEP2,SIRT2,CHKA,DDX18,HNRPLL,ZNF37B,ZNF526,AEBP2,CBR4,SEC14L4,NXF2,TNPO3,MRPL52,TECPR1,TDRD3,CEACAM20,ZNF362,CCDC22,ZNF276,IMAA,SMARCA5,LPP,GDAP1L1,CNOT6,VWC2L,NLRP5,OCLN,GPR37L1,NNAT,LOC100129354,HIST1H4B,EPS15L1,SPARC,FAM20A,MSL1,MSL2,THAP8,PLUNC,AREG,MRGPRX1,AP3S1,FERD3L,IARS2,MMACHC,LOC650226,SLC6A14,ADRB1,ATG5,HPD,RAD54L,KREMEN1,PRPF19,C9orf57,HOXB1,LHFPL2,MCAT,MAP3K13,JAKMIP2,LOC100289341,FMO1,GLTSCR2,MIAT,OLFML2B,NKD2,ELL,SERHL2,LCE1C,RB1,NARG1L,HMGXB3,P4HB,SPOCK3,TMEM39B,KCTD6,BEND4,MVD,RTP2,KCNU1,PRSS16,USP7,TUBGCP5,GALK2,CAND1,SLC7A10,class
"B0202C",0,0,0,0,0,0,0,0,1.356284188,0,0,0,0,0,0,0,0.835288474,0,0,0,0,0.86485832,0,0.5680087485,0,0.6913376245,0,0,0,0,0,0,1.174807084,0,0,0,0,0.675532589,0,0,0.604690538,0,0,0,0,0.819282229,0,0,0,0,0,0,0,0,1.184128484,0,0,0,0,0,0,0,0,0,0,0,0.541851338,0,0,0,0,0,0,0,0,0,0,0,0.682376812,1.393694703,0,0,0,0,0,0,0,0,0,0.753793229,0,0,0.681892888,0,0,0.845039485,0,0,0.702112243,0.548470601,0,0,0,1.399932939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312486982,0,0,0.767185092,1.118737074,0,0,0,0.312486982,0.876887896,0,0,0,0,0,0,0,0,0,0,0.775024864,0,0,0,0,0,0.990921284,0,0,0,0,0,0,0,0,0,0.929708451,0.62725602,0,0,0,0,0,0.826266275,0,0,0,0.85445284,0,0,0.535535699,0,0,0,0,0,0,0,0,2.429057491,0,0,0,0,0,0,0,0,0,0,0.714834634,0,0,1.623750172,0,0,0,0,0,0,0,1.369576004,0,0,1.517311349,0,0,0,0,0,0,"I-B+"
"B0782C",0,0,0,0,0,0,0,0.812284488,0.427605246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.574669236,0.744584784,0,0,0,1.107607056,0,0,0,0,0,0.707951811,0.574669236,1.403126873,0,0.445401876,0,0,0,0,0,0,0,0,0,0.492073335,0,0,0,0,0.848475753,0,0,0,1.12388216,0,0,0,0,0.933384149,1.8407717,0.969667789,0,1.403126873,0,0,0,0,0,0,0,0,0,0,0,0.716613033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776168235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.403126873,0,0,0,0,0,0,0,0,0,0,0.642837269,0,0,0.770386999,0,0,0,0,0,0,0.723285896,0,0,0,0,0,0,0,0,0,0.702707411,0,0,0,0,0,0,0.60178588,1.243239592,0,0,0,0,0,1.280223306,0,0,0,0,0.858524691,0,0.452013462,0,0,0,0,0,1.022331221,0,0,0,0,0,0,0.869263285,1.161956895,0,0,0,0,0,0.636555188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678162829,0,0,0,0,0,"I-B+"
"B1452C",0,0,0,0,0,0,0,1.061086424,0,0,0,0,0,0,0,0,1.079739685,0,0,0,0,0,0,0,0,0,0,0,0.546556472,0,0.894367704,0,0,0,0,0,0.113092721,0,0,0,0,0.912718006,0,0,0,0.628847938,0,0,0,0,0.600450786,0,0,0,0,0.47075826,0,0,0,0.434513345,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017314058,0,0,0,0,0.838327551,0,0.249169952,0,0,0,0,0,0,0,0,0,0,0,0.581169927,0,0,0,1.28322158,0,0,0.96772467,0,0,0,1.069937939,0,0,0,0,0,0.579922548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967327646,0,0,0,0,0.783077295,0.603154742,0,0,0,0,0,0,0,1.017314058,1.334580706,1.469516016,0,0.949534159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274924045,0.66403077,0,0,0,0,0,0,0,0,0,0.784673293,0,0.604970291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661299115,0,0,0,0,0,0,0,0,0,0,0.566709292,0,0,0,0,0,0,0,0,0,"I-B+"
"B1477C",0,0,0,1.017951003,0,0,0,0,0,0,0,0,0,0,0,0,0.446933478,0,0,0,0,1.228990712,0,0.480153439,0,0.262170473,0,0,0.649812593,0,1.046811508,0,0,0,0,0,0,0.262170473,0,0,0.450893229,0,0,0,0,0.957877007,0,0,0,0,1.001113233,0,0,0,0.743133228,0,0,0,0,0,0,0,0,0,0,0,0.883556717,0,0,0,0,0,0,0.949056442,0,0.856846476,0,0,0,0.815078272,0,0,0,0,0,0,0,0,0,0,0,0,0.780267158,0,0,1.268933085,0,0,0.529028479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809005709,0,0,1.068526962,0,0,0,0,0.809005709,0.50864993,0,0,0.417950722,0,0,0,0,0,0.949056442,0.43480069,0.167735265,0,0,0,0,0,0.836448453,0,0,1.270182322,0,0,0,0,0.922403353,0,0,0,0,0,0,1.493419794,0,0.657763373,0,0,1.568143386,0.674297541,0.442770861,0,0.670695695,0,0,0,0,0,1.032812758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326123536,0.51042872,0,0,0,0,0,0,0,0,0,0,0.539098649,0,0,0,0,0,"I-B+"
"R2682C",0,0,0,0.660963357,0,0,0,0,0,0,0,0,0,0,0,0,0.618813036,0,0,0,0,0,0,0,0,0,1.250785671,0,0,0,0.623992517,0,0.745612597,0,0,0,1.005898799,0,0.468568579,0,0.553845874,1.274053243,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804604816,0,0,0,0,0,0,0,0,1.025349967,0,0,0,0.468568579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693643383,0,0,0,0,0,0,0.594135731,0,0.591209415,0,0,0,0,1.390120511,0,0,0,0,0,1.194273271,0,0,0,0,0,0,0,0,0.468568579,0,0,0,0,0,0,0,0,0,0,0,0,0,1.252731813,0,0,0,0,1.205966386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.826706149,0,0.372664598,0,0,0,0,0,0,0,0,0,0.444986114,0,0,0.403511666,0.524885847,0,0,0,0,0,0,0,0,0,0,0,0,0.964990236,0.667290873,0,0,0,0,0,0,0,0,0,0.908236237,0,1.125596362,0,0,0,0,0.789442059,0,0,0.423191123,0.914957965,0,0,0,0,0,"I-B+"
"R2710C",0,0,0,0.338426314,0,0,0,0.489551573,0.294155746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894268705,0,0.767309136,0,0,0.922502658,0,0,0,0,0,0,0,0,0.767309136,0,0,0,0.399704742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317615582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.041689764,0,0,0.550981663,0,0.95840541,0,0,0,0,0,0,0,0,1.206198087,0,0,0,0,0,0.639585624,0,0,0.718246175,0,0,0,0,0,0,0,0,0,0,0.433895377,0,0,0,0,0,0,0,0,0,0,0.702245643,0,0,0,0,0,0,0,0.702245643,0,1.24716016,0,0,0,0,0,0,1.017210886,0,0,0,0,0.881440431,0,0,0,0,0,0,0,0,0,0,0,0.480344334,0,0.289687633,0,0,0,0,1.096708855,0,0,0,0,0,0,0.958946998,0.99927791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.922964411,0,0,0,0.452595888,0,0.883596368,0,0,0,0,0.561819689,0,0,0,0.216363236,0,0,0,0,0,"I-B+"
"B0201C",0,0,0.417690846,0,0.659417232,0,0,0,0,0,0.971452397,0.707566322,0,0,0.552108207,0,0,0,0.625641219,1.133666617,0.37294891,0,0.72126847,0,0,0,0,0,0,0.798201056,0,0.940831072,0,1.357640498,0,0.844229065,0,0,0,0,0,0,0,0,1.149606471,0,0.27002355,0,0,0.56662099,0,0.629856885,1.705674161,1.309098783,0,0,1.172712655,0,0.666665141,0,0,0,0.668672505,0,0,0,0,1.536024715,0,0,0.487482918,1.050869428,0,0,1.060182563,0,0,0,0,0,0,0,0,0,0.743692676,0.596832835,1.000778956,0,0.405054461,0,0,0.997682512,0,0,0.784006602,0,0,0,0,0,0,0.27002355,1.171508888,0,0,0.916652574,0.88132367,0.512045575,0,0,0,0.88016992,0,0.72126847,0,0,0.390717727,0,0,0,0,0.566410364,0,0,0,0.921869823,0,1.112978061,0,0,0,0.769997835,0,0,0.71693871,0.857852964,0.9923255985,0,0,0,0,0.60962065,0,0,0,0,0,0.82076176,0,0,0,1.634392601,1.031554206,0.539516099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687262361,0.597973569,0,0,1.154216416,0,0,0.759860514,0,0,0.533253374,0,0,0,0.916652574,0,0.838690019,0,0.509085539,0,0,0,0,0,0,0,0.538883767,1.072333232,0.388915584,0.584540849,0,0,0.864196973,0,0,0,0.914221527,0,0,0,"I-B-"
"B06150C",0,0.604111179,0,0,0,1.082864344,0,0,0,1.331667761,0,0.341980796,0,0,0,0,0,0,0,0.582198504,0.207231443,0,0.758792247,0,0,0,0,1.14461841,0,0,0,0,0,0.867030218,1.511876086,0,0,0,0,0,0,0,0,0,0,0,0,0.63483649,0,0,0,1.242286536,0,1.387057601,0,0,0,1.417004636,0,0,0.942417622,0,1.022786445,0.931267947,0,0,0,0,0,0,0,0,0.977750678,0,1.58912809,0,0,1.013766287,0,0,0,0,0.482399345,0,0.856918035,0,0,0,0,0,0.732191651,0.33475411,0,0,0,0,0,0,0,0,0,0,0,0,1.113886687,0,0.5426379655,0.835637989,0.858533329,0,0,0.699439668,0,0.758792247,0.438690628,0,0,0.741990546,0,0,0,0,1.853639401,0,0,0.974271884,0.460304208,0.949077099,0,0,0,0.509828318,0,0.931267947,0.794518028,0.756704873,0.562760232,0,0,0,0,0,0,0,0.741990546,0,0,0.830771143,0,0,0,0,0,0,0,0.548074613,0,0,0,0.478638876,0,0,1.065654314,0,0.898062996,0.640621546,0,0,0,0,0,0,0,0.412720592,0,0,0,1.488885737,0.641227652,0,0.675864422,0.874675253,0.565330003,0,0,0,0,0,0,0.5948361985,0,0,0,0,0,0,0,0,0,0.493623796,0.719095251,0,0,1.054911796,0,0,0,0.562536299,0,0.573468256,0.937305469,"I-B-"
"B1077C",0,0,0,0,0,0.95814811,0.836229526,0,0,1.119623489,0,0,0,0,0,0.516994963,0,0.686743778,0,0.715285107,0.308134021,0,0,0,0.216699385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.988065802,1.402431221,0,0,0,0.889302115,0.516994963,0,0,0,0.237034763,0.745199741,0,0,1.186570951,0.682148901,0.527884564,0,0.497544449,0,0.67138508,0.992328405,0,0,0,0,0,0,0,0,0,0,0.917422915,0,0,1.129533312,0,0,0,0.571352335,1.020731397,0,0.737269728,0,0.351386838,1.059217795,0.67468427,0,0.206177115,0,0,0,0,0,0,0.481702218,0,0,0.771244465,0,1.20689275,0,0.864129725,0.436770125,0,0.807089166,1.069627724,0,0,0,0,0,0,0.69124286,0,0,0,0.707619723,0,0.379455502,0,0,0,0.678529831,0,0.612912066,0,0,0,0.853629504,0,0.992328405,0,0.822336409,0,0,0,0,0,0,0,0,0,0,0,0.792003598,0.874401896,0,0.761335827,0.590849711,0,0.657734863,0,0,0,0,0,1.114228802,0,0,0.452948378333,0,0,0,0,0,0,0,0,1.059210398,0,0,0,0.901294628,0,0,0,0,0,0,0.2562959,0,0,0.436770125,0.783488504,1.419922082,0.636749984,0,0,0,0,0,0,0,0,0,0,0.527629327,0,0,0.216699385,0.568106323,0,0,0,0,0.69124286,1.075747663,0,"I-B-"
"B1493C",0.329506274,0.942076212,0,0,1.026090672,0,0.295287511,0,0,0,0,0.810032957,0,0.89716478,0,0,0,0,0.198468397,0.961670151,0,0,0,0,0.796307469,0,0,0,0,0,0,0.722414417,0,0,0,0,0,0,0,0.843579909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629056895,0,0,0,0,0,0,0,1.376242573,0,0,0,0,0,0,0,0,0,0.449165796,0.616117576,0,0,0,1.575276077,0.303148585,0,0,0,0,0.684131882,0.941013116,0,0.721568596,0,0.815587173,1.147906337,0,0.509793352,0.744164641,0,0.810371716,0,0,0,0,0,0,0,0,0,0,0,0.747838273,0,0.462310066,0,0,0.537018974,0,1.29430249,0,0.7737317925,0,0.5441726615,0,0,0,0,0.424043425,0.485256933,0,0,0,0.64672535,0,0,0,0,0,0,0,0.599739696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.143334734,0,0,0,0,0,0,0.661129347,0,0.251628376,0,0,0,0,0.631101647,0,0,0,0,0,0,0,0.908471382,0.851814102,0.771161767,0,0,0,0,1.01507692,0,0,0,0,0,1.06745251,2.312285238,0,0.219181382,0,1.130501563,0,0,0,1.231989187,0,0,0,0,0,0,0.796307469,0,0,0,0.473903966,0,0.738495464,0.785864563,0,"I-B-"
