sample_name,NCBP2,CAMK1,RNF114,ZC3H18,CFP,TIGD4,IGFBP2,RSPH1,C19orf25,ZNF292,LYAR,BCR,LOC284661,ARHGAP21,NFKBIL2,KLK1,C9orf142,GNA11,ZFP64,OLIG3,EIF2A,CCL25,MAP3K6,SLC23A2,SRRT,GPR123,HVCN1,XAF1,ICMT,ADAM33,XPA,CES3,ZNF578,SNORD41,CCDC78,SHQ1,UBE2G1,H2AFJ,SHC2,ANKS1A,LGR4,STARD13,LOC282997,DTX3,SEC22C,WRB,PCDH24,C2orf28,OTOP1,NEK3,TBKBP1,NFATC2IP,SMURF1,PAPD5,OPTN,PLA2G2D,MLLT6,GBAP,IVD,CSNK1A1L,LATS1,FAM149A,LOC643955,GGT7,TMEM8B,ZFP91.CNTF,MBD6,TTC14,KLHL10,TRIM63,FAM192A,NPTXR,MLPH,PAEP,ZNF786,MIR564,PDCD4,NPM2,PBLD,KCNIP1,SMYD5,RPS29,KCNG3,ARID2,RABL4,CBLN2,DEDD2,UBR7,MFSD5,PLCD3,LPXN,B3GALT4,SELENBP1,MECR,TRA2A,RNF126,OR11A1,FCHSD2,GRASP,TEC,ROBO1,PRKCI,LIAS,LOC286016,SAE1,PDP1,MAP1LC3B2,PARS2,PSORS1C2,PAGE2B,NR5A1,PSMD7,SLITRK5,SLC39A4,MYH15,OR6K2,SEMA5B,SLC45A2,GH2,INO80E,C17orf90,CREBZF,CRYL1,FAM184A,FBXO2,ATL2,PPIH,CORO1C,C14orf142,HECTD1,PDCD1LG2,COL22A1,APOL1,GNPDA1,MAN1B1,HNRNPL,LENG9,RPRD1A,PSME3,RSPRY1,ARFGEF1,NUPL2,BCAS2,LIMK1,DYNC1H1,DISP2,NR0B2,LOC100131496,CD300LF,NEK6,OXSR1,ZFP91,THEM5,FBXO47,FBXO46,KCNJ6,KCNJ8,TMEM158,C19orf35,NDUFAF4,XPR1,COPE,HBA2,LRRC59,SAMD11,SPP1,FAM7A2,FAM7A3,FAM7A1,DDX18,ARFIP1,TRIP13,FLJ36000,NOL10,ALKBH7,HBXIP,IL1F6,TEKT2,KIAA0753,BRUNOL5,NXF3,TNPO3,MAPK9,RNF167,P4HA3,MALT1,TMEM140,MMP15,FBXW7,M6PR,TCHP,OR1E2,ZNF362,RCAN2,RSPH10B,LOC389033,HIC2,STAMBP,HNRNPH3,CCDC21,C8orf33,BAALC,HSD17B1,GDAP1L1,APOL3,CNOT6,TIRAP,NLRP7,PPP1R12A,PFKL,CACNG6,C1orf168,CDH13,C2orf71,C7orf42,KIAA0467,IL9R,C6orf223,C6orf227,LIFR,IRX1,HIPK3,CXXC5,MSL2,MANBA,RGS8,TMEM42,AMPD1,MRGPRX1,C1orf226,ACADM,LOC650226,ARPP19,RASGRP1,LOC400027,HPD,RPL9,JUNB,PRPF19,PAN3,METTL10,C20orf201,C9orf57,MCAT,APOBEC3D,APOBEC3G,NARG1,TEAD3,TPH2,RARB,DHRS7,DYRK1B,ZBTB8B,LOC100289341,TIPIN,STX1B,BTBD18,STX18,LOC642587,RNASE4,OR2T3,SCARB1,DKFZP434K028,OLFML2A,ELL,LOC283761,C1orf91,SERP1,LRP5,APPBP2,ARHGEF2,C9orf53,ANKRD46,TM6SF2,MPV17L,ANG,NARG1L,DNA2,P704P,PIH1D2,P4HB,HTR7,RSPH10B2,NT5C3L,TMEM39B,NOTO,HES6,CBS,RELL2,LOC283914,KCNU1,KL,USP7,CEBPA,RNF222,CCDC137,LOC150622,AACS,GLI4,CSNK2A1,ETV1,ACAP3,PTRF,SELS,class
"B0202C",0,0,0,0,0,0,0,0,0,0.842349653,0,0,0.695545632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.225285683,0,0.617944343,0,0,0,0,0,0,0.933537234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675532589,0,0,0,0.686938948,0,0,0,0,0.661575943,0,0,0,0.617944343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946962215,0,0,0,0,0,0,0,0,0,0,0.451269591,1.078596318,0,0,0,0,0,0,0,0,0.51413057,0,0,0,0,0.613036354,0.845039485,0,0,0,0,0,0,0.548470601,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064165265,0,0,0,0,0.934252667,0,0,0,0,0,0,0,0,0,0.767185092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716226679,1.019570797,0,0,0,0,0,0,0,0,0,0.890997696,0,0,1.237216591,0,0,0,0.704698974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882844089,0,0,0,0,0.84612135,0,0,0,0,0,0,0,0,0,0,0,2.429057491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.045809718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.485450483,1.517311349,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"B0782C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619526691,0,0,0.744584784,0,0,0,0,0,0.4484087285,0,0,0,0,0,1.204275382,0,0,0,0,0,0,0,0,0,0,0,0.774008402,0,1.053247981,0.838690558,0.574669236,0,1.403126873,0,0,0.755952522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.403126873,0,0,0,0,0,0.612484446,0,0,0,0,0,0,0,0,0,0.979133745,0.672127759,0,0,0,0.716613033,0,0,0,0,0,0.918861346,0,0,0,0,0,0,0,0,0,0,0,0,0.776168235,0,0,0,0,0,0,0,0,0,0,0,0.627033673,0,0.689153837,0,0,0,0,0.570868635,0,1.403126873,0,0,0,0,0.628779434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635642464,0,0,0,0,0,0,0,0,0.366783067,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702707411,1.01523158,0,0,0.735915269,0,0,0,0.607277257,0,0,0,0.84135872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.324677816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175740355,0.801468018,0,0,0,0,0.512366892,0,0,0,0,0,0,0,0,0,0,0.816672306,0,0,0,0,0,0,0.976179851,0,0,0,0,0,0,0.69621051,0,0,0,0.755952522,0,0,0,0,0,0,0,0,0,1.149129538,0,0,1.163299924,0,0,0,0,0,0,0,3
"B1452C",0,0,0,0,0,0,0,0,0,0,0.646209951,0,1.403429563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660192918,0,0,0,0,0.686626905,0,0,0,0,0,0,0,0,0.420543709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.065645491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017314058,0,1.096411557,0,0.389669894,0,0,0,0.249169952,0,0,0,1.140471625,0,0.38063987,0,0,0,0,0,0,0,0,0,0,0,0,0.96772467,0,0,1.731295823,0,0,0,0,0,0,0,0,0.754313502,0,0,0,0,0,0,0.390247325,0,0,0,0,0,0,0.615937262,0,0,0,0,0,0,0,0,1.051786467,0,0,0,0.603154742,0,0,0,0,0,0.837329719,1.286486977,0,0,0,1.008522657,1.017314058,0,0,0,0,0,0,0,0.7233162,0,0,0,0.840355906,0,0,0,1.103960254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84112656,1.135806571,0,0,0.887281544,0,0,0,0,0,0,0,0,0.662385028,0.808700863,0,0,0,0,0.398274727,0,0,1.023607397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.202731608,0.772567075,0,0,0,0,0.600313497,0,0,0,0,0.95338547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95338547,0,0,0,0.811442651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645373758,0,0,0,0,0,0,0.826410439,0,0,0,3
"B1477C",0,0,0,0,0,0,0,0,0,1.03740282,0.890559982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872846691,0,0,0,0,0.896040074,0,0.407111015,0,0,0,0,0,0,0.601843455,0.871100257,0,0,0,0,1.039978034,0,0.344180892,0,0,0,0,0,0,0,0,0,0,0,0,1.000767355,0.262170473,0,0,0,0.902488303,0,0,0,0,0,0,0,1.821318205,0.871100257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949056442,0,0,0,0.793372901,0,0.856846476,0,0,0,0,0,0,0,0.456536976,0,0,0,0,0,1.268933085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.176994859,0,0.396368452,0,0,0.57892329,0,0,0,0,0,0,0,0,0,0,0,1.068526962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949056442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71757883,0,0,0,0,0,1.270182322,0,0,0,0.698129868,0,0,0,0,1.054264463,0,0,0.317014726,0,0,0,0,0,0,0,0,0,0,1.821318205,0,1.568143386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.007723452,0,0,0,0,0.992022825,0,0,0,0,0,0,0,0,0,0,1.144709448,0,0,0,0,0,0,0,0,0,0,0,0,0,1.042194054,0,0,0,0,0,0,0,0,0,0.556038334,0,0,0,0.955421452,0,0,0,0,0,0,1.046942346,0,0,0,3
"R2682C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.089124517,0,0,0,0,0,0,0.445171499,1.250785671,0,0,0,0,0.739169186,0,0,0,0,0,0,0,0,0.466150983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468568579,0,0,0.91230187,0,0,0,0.636828741,0,0,0,0,0,0,0,0,0,0,0,0,1.140686606,0,0,0,0,0.468568579,0,0,0,0,0,0.568220402,0,0,0,0,0,0,0,0,1.032112823,0.561146608,0,0.951206557,0,0,0,0,0,1.021843148,0,0,0,0,0,0,0,1.201398326,0,0,0,0,0,0,0,0,0,0,1.123754296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709792797,0,0,0,0.468568579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283805057,0,0,0,0,0,0,0,0,0,0.640609165,0,0,0,0,0.43760369,0,0,0,0,0,1.444142045,0,0,0,0,0,0,0.499364083,0,0,0,0,0,0,0,0,0,0,1.033147401,0,0,0.372485761,0,0,0,0.398277871,0,0,0,0,0,0,0,1.03715301,0,0,0,0,1.055233874,0.709624547,0,0,0.444986114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.171840895,0,0,0,0,0,0.383873634,0,0,0,0,0,0,0,0,0,1.171840895,0,0,0,0,0,0,0,0.91230187,0,0,0,0,0,0,0.423191123,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"R2710C",0,0,0,0,0,0,0,0,0,0,0.404687856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743624669,0,1.014642,0,0,0,0,0,0,0.596905581,0.584229673,0,0,0,0,0,0,0.379160028,0,0,0,0,0,0,0,0,0,0,0,0.776084655,0,0.767309136,0,0,0,0.603280762,0.799255368,0,0,0,0.510284003,0,0,0,0.584229673,0,0,0,0,0,0,0,0,0.704869264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.405819256,0,0,1.041689764,0,0.95840541,0,0,1.492892897,1.313264076,0,0,0,0,0,0,0.397323439,0.639585624,0,0,0,0,0,0,0,0,0,0.541978567,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849907562,0,0,0,0,0,0,0,0,0.687180534,0,0,0,0,0,0,0,0,0.506847254,0,0,0,1.24716016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401049719,0,0,0,0,0,0,0.889843082,0,0,0,0,0.965699157,0,0,0,0,0,0.850007433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566650725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566650725,0,0,0,0.990667263,0,0,0,0.799255368,0,0,0,0,0,0,0,0,0,0.79335418,0,0,1.592045421,0,0,0,0,0,0,0,3
"B9N1",0,0.341294215,1.128737457,0.803693382,0,0,0.819382967,0,0.531968015,0,0,0,0,0,1.133072917,0.281593972,0.609486218,1.23988578,0,0.5956898,0.8747248,0,0.6349648125,0,1.006336672,0.847829233,0.844403851,0,0.992531797,0,0.421720656,0.98489467,0,0.188202622,0,0,1.439232791,1.237599095,0.608254281,0.845814896,0,0,0,0.419733983,1.777061353,0.884338915,1.097934307,0,1.096169655,0,1.038901425,0.733798057,0,0,0,0,0.877191087,0,0.768296205,0,0.784012238,0,0,0,0,0,0,0,0,0,0,0.7113805,0,0,0.479388164,0,0,0,0,0.661507918,0.969462601,0,0.947247718,0.81722181,0,0,0.753891387,0,0.624389617,0,0,0.477991583,0.798964684,0,0.775313273,0.6390376825,0,0.516176523,0.550617924,0,0,1.368588388,0.843498693,0,0.759722049,0,0,0,0,0,1.126592057,0,0,1.15302478333,0,0,0.657167808,0,0,0,0.366075545,0.581930268,0,0,0.431480055,0.431348578,1.228435806,0.522265436,0,0,0,1.541221393,0.849518314,0,0.294809434,0.561914215,0.85535563,0.729618415,0.840061614,0,0,0,0,0,0,0.788992082,0,0,0.9799535245,0,0.8339547,0,0,0,0.544062347,0,0,0.303480971,0.8591135,0,0.539070018,0.731638702,0.83284498,0,0.853087191,0,0.824806139,0.824806139,0.824806139,0,0,0.484043248,0,1.906307585,0.810303433,0,0,0.965947082,1.196885368,0,0,0,0.291319378,0,1.146510954,0.423329885,0,0,0.891332919,0,0,1.241711763,0,0,0.94368865,1.152207452,0,0,0,0.33299147,0,0.538752058,0.409766232,0,0,0,0,0,0.228801421,0,0.95437589,0,0,0,0.33645963,0,0,0,0,0,0.688768243,1.392356823,0.559662547,0.669939506,0,0,0,0,0,0,0,0.62464677,1.094012601,0,0.81722181,0,0.843498693,0.677922526,0.743234891,1.006184679,0,1.066756423,0,0.870024901,0,0,1.288145217,0.537151654,0,0,0,1.014425841,0,0.294809434,0,0,0.617485763,0.764459175,0,0,0.731745722,0.723341547,0.876332796,0.638750426,0.648969889,0,0.816627781,0.8747248,0,0.452226591,0.41398501,0.781436999,0,0.713458429,0.744900116,0,1.230103086,1.251059725,0.889288435,0,0.444384289,0.994557789,0.94368865,0,0,0.706691028,0.6193117175,0.492211332,0.755529506,0,0,0.490972182,0,0,0,0.366075545,0,0,0.885855239,0.996554102,0,0.921350503,0.844111947,0.528676034,5
"B9N2",0,0,0.918464614,0,1.058493555,1.447770319,1.012157372,0.849460704,0.919539412,0,0,0.388694908,0,0.461516663,0.625535612,0,0.596319648,1.300141572,0,0,0,0.916035883,0.600529804,0,1.186085547,0.550443879,0.819600087,0,0.87944011,0.655765978,0.616813984,0.472152062,0,0.411860511,0,0,0.919059563,0,1.001237824,0.830863085,0,0,0,0.70162325,0,0,1.305275229,0,0,0,0.5649559745,0,0,0,0.784596093,0.973048385,0.695347408,0.531840774,0,0,0,0,0,0,0.590924212,0,0.560217253,0,0,0,0.540209642,0.49852233,0,0,0,0,0,0,0.998265991,0,0.94701109,0.583408734,0.337321644,0,0,0,0.951299389,0,0.603525191,0,0,0.269452182,0.363183268,0.810607591,0,0,0,0,0.602174369,1.25025999,0,0.944659729,0.759209098,0,0,0,0,0,0,0,0,0,0.833114305,0.902079227,0,0,0.672092274,0,0.941343598,0.427691252,0.801291849,0,0,0,1.057997814,0.934306591,0.964458322,0.819826481,0,0,0,0,0.774787011,0,0.6477041,0.8713858845,0.911051663,0.897525557,0,0.540209642,0.837029665,0,0,0,0,0,0.945224771,0,1.06681141,0,0.982224482,0,0,0,0.434661301,0,0,0.299921455,0,0,0.386188047,0.955960182,0.671723587,0.214756716,0,0,0.7367127275,0.479313947,0.7367127275,0,1.447770319,0.899592762,0,0,0.661597243,0,0,0,0.597160627,1.271191032,0,0,0.615026555,0.992695877,0.84347509,0.615111711,0,0,0,0,0,1.201950383,0.927522043,0,0,0,0,0,0.998265991,0,1.561454518,0,0.400207513,0,0,0,1.146897495,0,0.644897746,0,0.676286414,0,0,0,1.169006634,0,0,0,0.531316053,0,0.878400374,1.615540706,0,0.17477596,0,0,0,0,0,0.806521019,0,0,0,0,0,0,0.759209098,0.7672276695,0,0,0.8769813185,0,0,0.706749375,0,1.047524777,0,0.484332201,0,0,1.756915794,0.6060849,0,0.6477041,0,0,0,0.344242916,0,0,0,0.582684232,0.3613795625,0.705155486,1.248410452,0,0,0,0.892424279,0.762405845,0.732879976,1.347427902,0,0.699459486,0.624678169,0,0.75701594,0,0,0,0.943553659,0,0,0,0,0.619745911,0.213418189,0,0.800219268,0,0,0,1.011770403,0,0.503427152,0.801291849,0,0,0,0.948258741,0,0.487542689,0.739260888,0.987150576,5
"B9N3",0,0.557806563,0,0.854411022,1.084788075,0,0.8498096,0,0.9149122785,0,0,0,0,1.108858164,0.458323821,0.540418773,0.393180151,0,0,0.463861141,0,0,0.784089916,0.4723655,0,0.407384033,1.099945526,0,1.139164654,1.81939933,0,0.683600037,0,0.157853086,0,0,0,0,0.741558015,1.178650322,0,0,0,0.879527196,0.462537765,1.083342369,0,0,0.677145581,0,0.5650434465,0,1.703800056,0,0,0,0,0.607882736,0,0,0.576729367,0,0,0,0,0,0,0,0,0.832614101,0,0.646940648,0,0.239389506,0,0,0,0.489381629,0,0.883788842,0,0,0.559460536,1.219620196,0,0,0.59656151,0,1.148298773,0,0,0,0,0.733356297,0,0,0,0.376375351,0.814792321,1.287292817,1.072075841,1.143292609,0,0,0,0,0,0,0,0,0,0,0.915991265,1.021895914,0,0,0,0,0,0,0.72337074,0,0,0,0,0.737942835,0.555225888,0.742318464,0,0.932167688,0,0.625840831,0.410299989,0,0,0.89017291,0.533693293,0,0,0,0,0,0,0,0,0.594295905,0,0,1.108319927,0,0,0,0,0.648527307,0.705274027,0,0,0,0.900962172,0,0.998387472,0.877065034,0.87034905,0.861994506,1.036103823,0,0.836596728,0.705625586,0.836596728,0,0,0.541230776,0,0,0.967493048,0,0,1.605181768,0,1.110130857,0,0,0,0,1.047151393,0.585882718,0,0,0,0,0,1.1677510375,0,0,0.919815333,0.997945943,0,0,0,0,0,0.508910723,0.797688983,0,0,0,0,0,1.066654864,0,0.674994072,0,0,0,0.962067852,0,1.269772158,0,0.503789135,0,0,0,0.964835813,0,0,0,0,0,0,0.744581085,0,0,0,0,1.219620196,0,0,0.418280975,0.363969234,0.438195899,0.9929725575,0.547469505,0,1.350331346,0.6880064385,0.934683471,0.397438889,0.80124679,0,0,0,0,1.348974934,0,0,0,0.831715291,0.231920214,0,0,1.000096557,1.033795162,0.582788866,1.247241237,0,0,0.815968606,0,0,1.01102196,0.699460255,0,0,0.204445276,0.458264274,0,1.332825636,0.848494498,0,0,0,0.331290958,0.919815333,0,0.584700281,0,0.466757136,0,0.779520458,0,0,0,0,0,0,0.72337074,0,1.267417201,0,0.794437004,0,0.719158117,0,0.964073203,5
"B9N4",0.268391581,0,0,0.329138933,0,0.634679477,0,0.835676038,0,0,0,0.458173376,0,0,0,1.22938814,1.117088232,0,0,0,0.532652792,0.483742553,0.461240477,0,0.686507505,0,0,0,0,0.845852692,0,0.398428283,0,0,0,0,0.890144578,1.044038122,0,0.704149799,0,0,0,0,0,0,0.411040142,0,0,0,0,0,1.52214702,0.941467016,0.887017745,0,1.49345065,1.736615137,0.837101024,0,0,0,0,0,0.400264542,0,1.070873418,0,0,0,0.796548994,0.705077122,0,0.298432753,0,0,0,0,1.015975503,0,0,0.992649389,0,0,0.581503368,0,1.005161171,1.028867093,0,1.001392289,0,0,0,0,0.772660963,0.634253993,0,0,0,0,0,0,0.6202163685,0,0.692639435,0,0,0,0,0,0.388022265,0,0,0,0,0,0.843656656,0,0.793819462,0,0,0.712663046,0,0,0,0.706475842,0.989646466,0,1.028867093,1.02547084,0,0,1.053648038,0,0,0.591769815,0.565688794,0.34659425,1.011553754,0.796548994,0,1.267258755,0,0,0,0.538717017,0,0,1.004810684,0,0.617579159,0,0,1.185865227,0,0,0,0,1.266258006,0,0,0.472190014,1.011925505,0.456946929,0.749595498,0,0.562066736,0.562066736,0.562066736,0,0.634679477,0,0,0.970741703,0,0,0,0,0,0,0,0,0.657378182,0,0.903402447,0.671662582,0,0.466918048,0,0,0,0,0,0,0.610349584,0,1.446080083,0,1.015975503,0.805432456,0,0,0,0,0,0,0.717008268,0,0.45389525,0,0,0,0,0.500351634,0,0,0,0,0.844107247,0,0,0,0,0.447517431,0,0,0,0.86766535,0,0,0,1.103290768,0.710172222,0,0,0.883452055,0.654771031,1.178116217,0.778846877,0,0.341866168,0,0,0.790252487,0,0.936740373,1.014373833,0.587070435,0,0,0.421400613,0,0,0,0,0,0,0.667442862,0.991333174,0,0.905739021,1.144428938,0,0,0,0,0.557692826,0.532652792,0,0,0,0,0,0,0.40971078,0,0,0,0,0,0.374113893,1.121500323,0.610349584,0,0,0.432238894,0,0,0.864118739,0,0,0,0.722341096,0,0,0,0,0,0.401374246,0,0,0.8843599,0,0.664173847,5
