sample_name,ADAD2,ADAMTS15,ARPP19,ATG9B,BAALC,BBS12,BCMO1,BRUNOL5,C19orf35,C1orf168,C2orf71,C9orf53,CPSF4L,CRYL1,CSNK2A1,DACT3,DEM1,DNA2,DTX3,EIF4A3,ENTPD8,F12,FAM176B,FAM7A1,FAM7A2,FAM7A3,FAM92A1,FBXO47,GBAP,HBA2,HNRNPL,HRC,HSD17B1,IL9R,KIAA1755,LAT,LCE4A,LOC284379,LOC729338,LYRM2,MC1R,MCAT,MLLT6,NHS,NOL10,NR1D1,OGFR,OR1E2,OR1F2P,OXSR1,P4HA3,PAPD5,PI4KAP1,PIH1D2,PNPLA5,PPIH,PRELID2,PRKCI,PRRX2,PVRL2,PXMP2,RASGRP1,RDH8,RPL12,RPL36,RPL9,RPS17,RSBN1L,RYK,SCARB1,STAMBPL1,TBX20,TCHP,TCTE1,TEC,TEKT2,TMEM139,TPH2,TRPM4,TTC23L,ZNF181,ZNF788,class
B9N1,0.928042838,0,1.094012601,0.053327521,0.538752058,0.419252401,0,0,0.8591135,0,0,0.781436999,0,0,0.996554102,0.558904455,0.875760414,1.251059725,0.419733983,1.608058212,0.774752993,0.968802694,0.75438757,0.824806139,0.824806139,0.824806139,0,0,0,0.83284498,0.561914215,0.346762159,0.409766232,0,0,0.612074445,0,0,0.419252401,0,0.607522652,0.870024901,0.877191087,0,1.906307585,0,0.36841205,1.241711763,1.339078299,0.8339547,1.146510954,0,0.693763685,0,0.706666091,1.228435806,0,1.368588388,0.680221689,0,0,0,0.807041079,0,0.819889688,0.843498693,0.668085483,0.245201233,1.037057674,0.723341547,0,0,0,0.616057292,0,0.965947082,0.777323079,0,0.346762159,0,0,0,Normal
R9N10,0.470795393,0,0,0,0.345168178,0,0,0,0,0,0,0.880230118,0,0,0,0.423261749,0.731348827,0,0.666548543,1.169724243,0,1.005914471,0.734193719,0,0,0,0,0,0.754545168,0,0.40767217,0,0.545376926,0,0.686300583,0,1.488725952,0.712552892,0,0,1.034475628,0.662775659,0,0,0,0,0,0,0.881326092,0,0,1.181221577,0.499069197,0,1.424265492,0,0,0,0,1.141678529,0,0,1.625826395,0,0,1.165532307,0.707565095,0,1.097955275,0,0.274217033,0,0.857460561,0.617827521,0,0,0.916241843,0,0,0,1.107126898,1.218865638,Normal
B9N2,1.058180046,0.326228339,0,0,0,1.360428136,0,1.271191032,0,0,0,1.347427902,0,0,0.948258741,0.21701413,1.095909496,0,0.70162325,0.50907279,0,0,0.712530874,0.736712728,0.736712728,0.479313947,0,0,0.531840774,0.671723587,0.871385885,0.84533928,0.400207513,0,0,0.828427774,0,0,1.360428136,0,0,0.706749375,0.695347408,0,0,0,0,1.201950383,0,0.982224482,0.84347509,0,0.97808491,0,0.952365971,0.964458322,0,0.944659729,0.790909831,1.856604752,1.055080017,0,0.864611818,0.86152254,0.237320184,0.759209098,0.69273168,0,0.747569805,0.582684232,0,0,0,1.384517306,1.25025999,0,0,0,0.84533928,0,0.968239148,0.736777325,Normal
B9N3,1.197870187,0,0,0,0.508910723,0.75697908,0,1.110130857,0.900962172,0,0,0,0,0,0.794437004,0.910671355,0.861849954,0.848494498,0.879527196,1.147947791,0,0,0,0.836596728,0.836596728,0.705625586,0,0.648527307,0.607882736,0.87034905,0.89017291,1.003220687,0.797688983,1.269772158,0,0.918609366,0.735751105,0,0.75697908,0,0.796431011,1.350331346,0,0,0,0,0,1.167751038,1.07638331,0,1.047151393,0,1.336208448,0,1.312636905,0.555225888,0,1.143292609,0.747853545,1.128344062,0.910034758,0,1.728381485,0.958923987,0.53077657,0,0.415629537,1.723053713,0.812057609,1.033795162,0.53800164,0,0,0.989169372,1.287292817,1.605181768,1.061206213,0,1.003220687,0,0.748700501,0.876248326,Normal
B9N4,0.73417069,0,0.710172222,0,0,0.366520632,0,0,1.266258006,0,0.500351634,0,0,0,0,0,1.006231273,0,0,1.168108969,0.821539747,1.378713035,0,0.562066736,0.562066736,0.562066736,0,1.185865227,1.736615137,1.011925505,0.591769815,0.464454259,0,0,0,0,0,0.828041387,0,0,0.438700379,0.790252487,1.49345065,0.412909154,0.970741703,0.951082948,0,0,1.310986796,0.617579159,0.903402447,0.941467016,0,0,0.635688134,0.989646466,0,0,1.099040714,0,0,0,0,0,0.480667997,0.654771031,0.921543987,0,0,1.144428938,0,0,0,1.006125586,0,0,0.514104009,0,0.464454259,0,1.256168261,1.480000101,Normal
B9N5,0,0,0.728905811,0,0.312338438,0.682310574,1.124476636,1.201779841,1.033479772,0,0,0,0,0,0.880411045,0.437569944,0.631887079,0,0.719907915,0.6626837,0.938418978,1.222328559,0.589145834,0.658059718,0.658059718,0.704678675,0,0.854143364,0,0,0,0.47134071,0,0.860655895,0,0,0,0.894888748,0.682310574,0.470929798,0.909685883,0.972909675,0,0,0,0,0,0.802610775,0.477151617,0,0,0,0,0,0.740104566,0,0,0,0,1.126420066,0,0,0,0,0,0.647001795,0,0,0,0,0,0,1.432534883,0,0,0,0,0,0.47134071,0,0.388815374,0.684422166,Normal
R9N6,0,0,1.156409605,0,0,0.783511906,0,0,1.046311311,0,1.061826378,0,0,0,0,0,0.8068635,0,0.63320952,0.750079753,1.398401192,1.032555428,0,1.493363623,1.493363623,1.493363623,0,0,0,0.629119044,0,0.486983094,0.429631276,0,0,0.763317013,1.455037756,0,0.783511906,0,0,0.775285621,1.279311848,0.611574217,0.980705817,0,0.663072749,0.662472347,1.811123157,0.441804666,0,0,0.921793135,0,0.924966668,0.834680816,0,0,0.676182863,1.998509706,1.039513624,0,0,0.837484957,0.869040066,0,0.708928862,0.114040691,1.074593411,0,0,0,0,1.009786091,0,0,1.114103605,0,0.486983094,0.269249677,0,0.554174911,Normal
R9N7,0.235357631,0,0,0.524593953,1.383723693,0,0,0,0,0,1.305011735,0.72583975,0,0,0.555551616,1.108279364,0.389379148,0,0.889911584,1.43115782,0,0.917437391,0,0,0,0,0,0,0.267116951,0,0,0.669999446,0.684209077,1.954753995,0,0,0.960175275,0.873222555,0,0,0.484463805,0,1.543067461,0.794993657,0,0.999169288,0,1.038928587,1.924003057,0,0,1.234401648,0.706621128,0,1.30248037,0.575918411,0,0,0,1.494453993,0,0,0,0.975465106,0.715447807,0,1.346717944,0.914099663,0,0.785043958,0,0,1.058718271,0.716494579,1.126903695,0,0.868574858,0,0.669999446,0,0.356400664,0.966577163,Normal
R9N8,0.539680928,0,0.856665166,0,0.882072847,1.240286169,0,0,0,0,0,1.171267067,0,0,0.537744516,1.267497115,0.894959621,0.871820798,0.783227669,1.050258286,1.086902457,1.130376297,0.788819515,0,0,0,0,0,0,0,0,0.687863026,0.79002943,0,0,0.799336088,1.524473747,0.942479377,1.240286169,0,0.695755476,0,1.276715497,0,0,0,0,0,0,0.958144622,0,0.918710213,1.177983603,0,1.682847013,0.62139693,0.404796738,0,1.124107499,0,0.841782803,0,0.828047485,0,1.129215885,0,0.570622855,0,1.480807458,0,0,0,0,0.443817211,0,0.621321235,1.191679454,0,0.687863026,0,0.473495538,1.203018122,Normal
R9N9,0,0,0,0,0,0.428209744,0,0,0,0,0.853882327,0.990046571,0,0,0,0.917088336,0.608942984,0.590945394,0,0,0,1.691548408,0.652220624,0,0,0,0,0.410363073,0,0,1.100677641,0.494195401,0.678207176,0,0,0.705625504,1.799707155,0.687800928,0.428209744,0,0.734544283,0,0,0,0,0,0,0.695573075,1.150127726,0.731760112,0.950330595,0,0.938847901,0,0.81183359,1.065448761,0,0,1.170143393,2.062764036,1.074657207,0,0.824237825,0.679856882,0.532035545,0,0,1.275494608,0,0,0,0,0.982427385,1.005830155,0,0.737648856,0.563248851,0,0.494195401,0,0.384913123,0.810046947,Normal
